showArtists,2020-06-04 13:27:23.814,AWT-EventQueue-0
showArtists,2020-06-04 13:33:10.179,AWT-EventQueue-0
showEvents,2020-06-04 13:33:50.901,main
showClients,2020-06-04 13:52:05.881,AWT-EventQueue-0
showSponsors,2020-06-04 13:52:10.684,AWT-EventQueue-0
showEvents,2020-06-04 13:52:11.471,AWT-EventQueue-0
showArtists,2020-06-04 13:52:12.38,AWT-EventQueue-0
showArtists,2020-06-04 14:37:56.417,AWT-EventQueue-0
showArtists,2020-06-04 15:37:03.153,AWT-EventQueue-0
showSponsors,2020-06-04 15:37:04.893,AWT-EventQueue-0
showClients,2020-06-04 16:11:48.274,AWT-EventQueue-0
showSponsors,2020-06-04 16:11:50.286,AWT-EventQueue-0
showEvents,2020-06-04 16:11:51.625,AWT-EventQueue-0
showArtists,2020-06-04 16:11:53.112,AWT-EventQueue-0
buy ticket,2020-06-04 16:16:24.72,AWT-EventQueue-0
buy a ticket,2020-06-04 16:18:20.655,AWT-EventQueue-0
buy a ticket,2020-06-04 16:18:24.805,AWT-EventQueue-0
buy a ticket,2020-06-04 16:18:31.256,AWT-EventQueue-0
buy a ticket,2020-06-04 16:31:00.254,AWT-EventQueue-0
showArtists,2020-06-04 16:31:42.961,AWT-EventQueue-0
showSponsors,2020-06-04 16:31:45.633,AWT-EventQueue-0
buy a ticket,2020-06-04 16:31:52.663,AWT-EventQueue-0
buy a ticket,2020-06-04 16:32:57.649,AWT-EventQueue-0
buy a ticket,2020-06-04 16:33:16.773,AWT-EventQueue-0
showArtists,2020-06-04 16:51:45.833,AWT-EventQueue-0
showEvents,2020-06-04 16:51:52.445,AWT-EventQueue-0
showArtists,2020-06-04 17:07:10.741,AWT-EventQueue-0
showEvents,2020-06-04 17:07:12.659,AWT-EventQueue-0
showSponsors,2020-06-04 17:07:14.761,AWT-EventQueue-0
showClients,2020-06-04 17:07:16.184,AWT-EventQueue-0
showClients,2020-06-04 17:07:18.322,AWT-EventQueue-0
buy a ticket,2020-06-04 17:07:24.926,AWT-EventQueue-0
